,Count_S,Count_E,Count_I,Count_R,Infections_Home,Infections_GQ,Infections_Work,Infections_School,Infections_Community
605,18,0,14,1051,0,0,0,0,0
606,18,0,13,1052,0,0,0,0,0
607,18,0,12,1053,0,0,0,0,0
608,18,0,12,1053,0,0,0,0,0
609,18,0,12,1053,0,0,0,0,0
610,18,0,12,1053,0,0,0,0,0
611,18,0,12,1053,0,0,0,0,0
612,18,0,12,1053,0,0,0,0,0
613,18,0,12,1053,0,0,0,0,0
614,18,0,12,1053,0,0,0,0,0
615,18,0,12,1053,0,0,0,0,0
616,18,0,12,1053,0,0,0,0,0
617,18,0,12,1053,0,0,0,0,0
618,18,0,12,1053,0,0,0,0,0
619,18,0,12,1053,0,0,0,0,0
620,18,0,12,1053,0,0,0,0,0
621,18,0,12,1053,0,0,0,0,0
622,18,0,11,1054,0,0,0,0,0
623,18,0,11,1054,0,0,0,0,0
624,18,0,11,1054,0,0,0,0,0
625,18,0,11,1054,0,0,0,0,0
626,18,0,11,1054,0,0,0,0,0
627,18,0,11,1054,0,0,0,0,0
628,18,0,11,1054,0,0,0,0,0
629,18,0,11,1054,0,0,0,0,0
630,18,0,11,1054,0,0,0,0,0
631,18,0,11,1054,0,0,0,0,0
632,18,0,11,1054,0,0,0,0,0
633,18,0,11,1054,0,0,0,0,0
634,18,0,11,1054,0,0,0,0,0
635,18,0,11,1054,0,0,0,0,0
636,18,0,11,1054,0,0,0,0,0
637,18,0,11,1054,0,0,0,0,0
638,18,0,9,1056,0,0,0,0,0
639,18,0,9,1056,0,0,0,0,0
640,18,0,9,1056,0,0,0,0,0
641,18,0,9,1056,0,0,0,0,0
642,18,0,8,1057,0,0,0,0,0
643,18,0,8,1057,0,0,0,0,0
644,18,0,8,1057,0,0,0,0,0
645,18,0,7,1058,0,0,0,0,0
646,18,0,7,1058,0,0,0,0,0
647,18,0,7,1058,0,0,0,0,0
648,18,0,7,1058,0,0,0,0,0
649,18,0,7,1058,0,0,0,0,0
650,18,0,7,1058,0,0,0,0,0
651,18,0,7,1058,0,0,0,0,0
652,18,0,7,1058,0,0,0,0,0
653,18,0,7,1058,0,0,0,0,0
654,18,0,7,1058,0,0,0,0,0
655,18,0,7,1058,0,0,0,0,0
656,18,0,7,1058,0,0,0,0,0
657,18,0,7,1058,0,0,0,0,0
658,18,0,7,1058,0,0,0,0,0
659,18,0,7,1058,0,0,0,0,0
660,18,0,7,1058,0,0,0,0,0
661,18,0,7,1058,0,0,0,0,0
662,18,0,7,1058,0,0,0,0,0
663,18,0,7,1058,0,0,0,0,0
664,18,0,7,1058,0,0,0,0,0
665,18,0,7,1058,0,0,0,0,0
666,18,0,7,1058,0,0,0,0,0
667,18,0,7,1058,0,0,0,0,0
668,18,0,7,1058,0,0,0,0,0
669,18,0,7,1058,0,0,0,0,0
670,18,0,7,1058,0,0,0,0,0
671,18,0,6,1059,0,0,0,0,0
672,18,0,6,1059,0,0,0,0,0
673,18,0,6,1059,0,0,0,0,0
